"nom_mun","edad","pob_tot","pob_h","pob_m","CVEGEO"
"Almoloya de Juárez","3 Años",3347,1688,1659,"15 005"
"Almoloya de Juárez","4 Años",3278,1584,1694,"15 005"
"Almoloya de Juárez","5 Años",3228,1644,1584,"15 005"
"Almoloya de Juárez","6 Años",3193,1586,1607,"15 005"
"Almoloya de Juárez","7 Años",3221,1610,1611,"15 005"
"Almoloya de Juárez","8 Años",3528,1940,1588,"15 005"
"Almoloya de Juárez","9 Años",3209,1606,1603,"15 005"
"Almoloya de Juárez","10 Años",3715,1841,1874,"15 005"
"Almoloya de Juárez","11 Años",3241,1659,1582,"15 005"
"Almoloya de Juárez","12 Años",3550,1814,1736,"15 005"
"Almoloya de Juárez","13 Años",3309,1632,1677,"15 005"
"Almoloya de Juárez","14 Años",3285,1659,1626,"15 005"
"Almoloya de Juárez","15 Años",3240,1669,1571,"15 005"
"Almoloya de Juárez","16 Años",3206,1557,1649,"15 005"
"Almoloya de Juárez","17 Años",3504,1769,1735,"15 005"
"Almoloya de Juárez","18 Años",3244,1650,1594,"15 005"
"Almoloya de Juárez","19 Años",2899,1489,1410,"15 005"
"Almoloya de Juárez","20 Años",3331,1655,1676,"15 005"
"Almoloya de Juárez","21 Años",2679,1349,1330,"15 005"
"Almoloya de Juárez","22 Años",2929,1468,1461,"15 005"
"Almoloya de Juárez","23 Años",2845,1478,1367,"15 005"
"Almoloya de Juárez","24 Años",2885,1420,1465,"15 005"
"Almoloya del Río","Total",12694,6150,6544,"15 006"
"Almoloya del Río","3 Años",232,118,114,"15 006"
"Almoloya del Río","4 Años",228,100,128,"15 006"
"Almoloya del Río","5 Años",232,109,123,"15 006"
"Almoloya del Río","6 Años",236,123,113,"15 006"
"Almoloya del Río","7 Años",226,119,107,"15 006"
"Almoloya del Río","8 Años",236,110,126,"15 006"
"Almoloya del Río","9 Años",237,124,113,"15 006"
"Almoloya del Río","10 Años",277,131,146,"15 006"
"Almoloya del Río","11 Años",214,115,99,"15 006"
"Almoloya del Río","12 Años",259,141,118,"15 006"
"Almoloya del Río","13 Años",206,102,104,"15 006"
"Almoloya del Río","14 Años",222,111,111,"15 006"
"Almoloya del Río","15 Años",251,136,115,"15 006"
"Almoloya del Río","16 Años",215,118,97,"15 006"
"Almoloya del Río","17 Años",223,113,110,"15 006"
"Almoloya del Río","18 Años",233,127,106,"15 006"
"Almoloya del Río","19 Años",209,113,96,"15 006"
"Almoloya del Río","20 Años",235,119,116,"15 006"
"Almoloya del Río","21 Años",214,103,111,"15 006"
"Almoloya del Río","22 Años",227,109,118,"15 006"
"Almoloya del Río","23 Años",183,90,93,"15 006"
"Almoloya del Río","24 Años",201,94,107,"15 006"
"Amanalco","Total",23675,11534,12141,"15 007"
"Amanalco","3 Años",533,281,252,"15 007"
"Amanalco","4 Años",507,242,265,"15 007"
"Amanalco","5 Años",502,244,258,"15 007"
"Amanalco","6 Años",472,248,224,"15 007"
"Amanalco","7 Años",502,263,239,"15 007"
"Amanalco","8 Años",523,270,253,"15 007"
"Amanalco","9 Años",492,208,284,"15 007"
"Amanalco","10 Años",537,268,269,"15 007"
"Amanalco","11 Años",488,232,256,"15 007"
"Amanalco","12 Años",424,195,229,"15 007"
"Amanalco","13 Años",481,250,231,"15 007"
"Amanalco","14 Años",481,249,232,"15 007"
"Amanalco","15 Años",468,227,241,"15 007"
"Amanalco","16 Años",428,226,202,"15 007"
"Amanalco","17 Años",467,241,226,"15 007"
"Amanalco","18 Años",423,208,215,"15 007"
"Amanalco","19 Años",355,173,182,"15 007"
"Amanalco","20 Años",451,213,238,"15 007"
"Amanalco","21 Años",381,185,196,"15 007"
"Amanalco","22 Años",441,220,221,"15 007"
"Amanalco","23 Años",391,198,193,"15 007"
"Amanalco","24 Años",387,179,208,"15 007"
"Amatepec","Total",25244,12247,12997,"15 008"
"Amatepec","3 Años",491,252,239,"15 008"
"Amatepec","4 Años",511,241,270,"15 008"
"Amatepec","5 Años",503,256,247,"15 008"
"Amatepec","6 Años",495,254,241,"15 008"
"Amatepec","7 Años",475,237,238,"15 008"
"Amatepec","8 Años",567,284,283,"15 008"
"Amatepec","9 Años",493,239,254,"15 008"
"Amatepec","10 Años",535,290,245,"15 008"
"Amatepec","11 Años",457,230,227,"15 008"
"Amatepec","12 Años",466,211,255,"15 008"
"Amatepec","13 Años",453,220,233,"15 008"
"Amatepec","14 Años",451,228,223,"15 008"
"Amatepec","15 Años",430,234,196,"15 008"
"Amatepec","16 Años",436,225,211,"15 008"
"Amatepec","17 Años",454,248,206,"15 008"
"Amatepec","18 Años",482,215,267,"15 008"
"Amatepec","19 Años",356,169,187,"15 008"
"Amatepec","20 Años",428,204,224,"15 008"
"Amatepec","21 Años",359,177,182,"15 008"
"Amatepec","22 Años",418,221,197,"15 008"
"Amatepec","23 Años",382,172,210,"15 008"
"Amatepec","24 Años",377,173,204,"15 008"
"Amecameca","Total",53441,25440,28001,"15 009"
"Amecameca","3 Años",915,450,465,"15 009"
"Amecameca","4 Años",910,424,486,"15 009"
"Amecameca","5 Años",869,443,426,"15 009"
"Amecameca","6 Años",844,415,429,"15 009"
"Amecameca","7 Años",864,404,460,"15 009"
"Amecameca","8 Años",903,453,450,"15 009"
"Amecameca","9 Años",756,385,371,"15 009"
"Amecameca","10 Años",989,515,474,"15 009"
"Amecameca","11 Años",861,457,404,"15 009"
"Amecameca","12 Años",921,458,463,"15 009"
"Amecameca","13 Años",863,443,420,"15 009"
"Amecameca","14 Años",884,438,446,"15 009"
"Amecameca","15 Años",987,495,492,"15 009"
"Amecameca","16 Años",937,472,465,"15 009"
"Amecameca","17 Años",965,508,457,"15 009"
"Amecameca","18 Años",1025,497,528,"15 009"
"Amecameca","19 Años",862,428,434,"15 009"
"Amecameca","20 Años",1110,533,577,"15 009"
"Amecameca","21 Años",800,396,404,"15 009"
"Amecameca","22 Años",885,418,467,"15 009"
"Amecameca","23 Años",868,432,436,"15 009"
"Amecameca","24 Años",826,411,415,"15 009"
