"nom_mun","edad","pob_tot","pob_h","pob_m","CVEGEO"
"Chapultepec","23 Años",196,95,101,"15 027"
"Chapultepec","24 Años",214,105,109,"15 027"
"Chiautla","Total",30045,14668,15377,"15 028"
"Chiautla","3 Años",459,225,234,"15 028"
"Chiautla","4 Años",514,272,242,"15 028"
"Chiautla","5 Años",478,230,248,"15 028"
"Chiautla","6 Años",448,230,218,"15 028"
"Chiautla","7 Años",454,253,201,"15 028"
"Chiautla","8 Años",506,258,248,"15 028"
"Chiautla","9 Años",478,237,241,"15 028"
"Chiautla","10 Años",540,265,275,"15 028"
"Chiautla","11 Años",521,286,235,"15 028"
"Chiautla","12 Años",550,305,245,"15 028"
"Chiautla","13 Años",521,269,252,"15 028"
"Chiautla","14 Años",582,282,300,"15 028"
"Chiautla","15 Años",558,280,278,"15 028"
"Chiautla","16 Años",529,269,260,"15 028"
"Chiautla","17 Años",556,283,273,"15 028"
"Chiautla","18 Años",595,312,283,"15 028"
"Chiautla","19 Años",470,244,226,"15 028"
"Chiautla","20 Años",657,333,324,"15 028"
"Chiautla","21 Años",460,233,227,"15 028"
"Chiautla","22 Años",498,252,246,"15 028"
"Chiautla","23 Años",491,234,257,"15 028"
"Chiautla","24 Años",491,258,233,"15 028"
"Chicoloapan","Total",200750,97195,103555,"15 029"
"Chicoloapan","3 Años",3459,1712,1747,"15 029"
"Chicoloapan","4 Años",3618,1823,1795,"15 029"
"Chicoloapan","5 Años",3629,1784,1845,"15 029"
"Chicoloapan","6 Años",3213,1557,1656,"15 029"
"Chicoloapan","7 Años",3248,1592,1656,"15 029"
"Chicoloapan","8 Años",3478,1745,1733,"15 029"
"Chicoloapan","9 Años",3165,1526,1639,"15 029"
"Chicoloapan","10 Años",3773,1945,1828,"15 029"
"Chicoloapan","11 Años",3368,1735,1633,"15 029"
"Chicoloapan","12 Años",3690,1857,1833,"15 029"
"Chicoloapan","13 Años",3580,1780,1800,"15 029"
"Chicoloapan","14 Años",3703,1874,1829,"15 029"
"Chicoloapan","15 Años",3873,2001,1872,"15 029"
"Chicoloapan","16 Años",3593,1841,1752,"15 029"
"Chicoloapan","17 Años",4047,2120,1927,"15 029"
"Chicoloapan","18 Años",3900,2050,1850,"15 029"
"Chicoloapan","19 Años",3559,1849,1710,"15 029"
"Chicoloapan","20 Años",4147,2047,2100,"15 029"
"Chicoloapan","21 Años",3376,1700,1676,"15 029"
"Chicoloapan","22 Años",3561,1694,1867,"15 029"
"Chicoloapan","23 Años",3324,1685,1639,"15 029"
"Chicoloapan","24 Años",3303,1637,1666,"15 029"
"Chiconcuac","Total",27692,13548,14144,"15 030"
"Chiconcuac","3 Años",473,255,218,"15 030"
"Chiconcuac","4 Años",496,239,257,"15 030"
"Chiconcuac","5 Años",485,248,237,"15 030"
"Chiconcuac","6 Años",432,229,203,"15 030"
"Chiconcuac","7 Años",448,248,200,"15 030"
"Chiconcuac","8 Años",499,264,235,"15 030"
"Chiconcuac","9 Años",468,232,236,"15 030"
"Chiconcuac","10 Años",526,285,241,"15 030"
"Chiconcuac","11 Años",484,239,245,"15 030"
"Chiconcuac","12 Años",475,236,239,"15 030"
"Chiconcuac","13 Años",490,261,229,"15 030"
"Chiconcuac","14 Años",496,259,237,"15 030"
"Chiconcuac","15 Años",475,241,234,"15 030"
"Chiconcuac","16 Años",483,236,247,"15 030"
"Chiconcuac","17 Años",476,247,229,"15 030"
"Chiconcuac","18 Años",526,258,268,"15 030"
"Chiconcuac","19 Años",497,225,272,"15 030"
"Chiconcuac","20 Años",596,317,279,"15 030"
"Chiconcuac","21 Años",433,208,225,"15 030"
"Chiconcuac","22 Años",537,257,280,"15 030"
"Chiconcuac","23 Años",490,238,252,"15 030"
"Chiconcuac","24 Años",522,247,275,"15 030"
"Chimalhuacán","Total",705193,344571,360622,"15 031"
"Chimalhuacán","3 Años",12851,6481,6370,"15 031"
"Chimalhuacán","4 Años",13271,6793,6478,"15 031"
"Chimalhuacán","5 Años",13776,6964,6812,"15 031"
"Chimalhuacán","6 Años",12663,6357,6306,"15 031"
"Chimalhuacán","7 Años",12880,6506,6374,"15 031"
"Chimalhuacán","8 Años",13403,6954,6449,"15 031"
"Chimalhuacán","9 Años",12191,6071,6120,"15 031"
"Chimalhuacán","10 Años",13945,7198,6747,"15 031"
"Chimalhuacán","11 Años",12344,6248,6096,"15 031"
"Chimalhuacán","12 Años",13744,6872,6872,"15 031"
"Chimalhuacán","13 Años",12602,6434,6168,"15 031"
"Chimalhuacán","14 Años",12824,6377,6447,"15 031"
"Chimalhuacán","15 Años",13410,6798,6612,"15 031"
"Chimalhuacán","16 Años",12419,6271,6148,"15 031"
"Chimalhuacán","17 Años",13397,6812,6585,"15 031"
"Chimalhuacán","18 Años",14047,7113,6934,"15 031"
"Chimalhuacán","19 Años",11806,5954,5852,"15 031"
"Chimalhuacán","20 Años",14178,7030,7148,"15 031"
"Chimalhuacán","21 Años",11147,5542,5605,"15 031"
"Chimalhuacán","22 Años",13086,6518,6568,"15 031"
"Chimalhuacán","23 Años",12266,6019,6247,"15 031"
"Chimalhuacán","24 Años",12624,6196,6428,"15 031"
"Coacalco de Berriozábal","Total",293444,141107,152337,"15 020"
"Coacalco de Berriozábal","3 Años",3854,1930,1924,"15 020"
"Coacalco de Berriozábal","4 Años",4006,1992,2014,"15 020"
"Coacalco de Berriozábal","5 Años",4180,2181,1999,"15 020"
"Coacalco de Berriozábal","6 Años",3747,1924,1823,"15 020"
"Coacalco de Berriozábal","7 Años",3650,1815,1835,"15 020"
"Coacalco de Berriozábal","8 Años",3889,2007,1882,"15 020"
"Coacalco de Berriozábal","9 Años",3696,1851,1845,"15 020"
"Coacalco de Berriozábal","10 Años",4304,2218,2086,"15 020"
"Coacalco de Berriozábal","11 Años",3830,1986,1844,"15 020"
"Coacalco de Berriozábal","12 Años",4384,2348,2036,"15 020"
"Coacalco de Berriozábal","13 Años",4151,2092,2059,"15 020"
"Coacalco de Berriozábal","14 Años",4215,2087,2128,"15 020"
"Coacalco de Berriozábal","15 Años",4488,2301,2187,"15 020"
"Coacalco de Berriozábal","16 Años",4389,2261,2128,"15 020"
"Coacalco de Berriozábal","17 Años",4613,2322,2291,"15 020"
"Coacalco de Berriozábal","18 Años",5106,2593,2513,"15 020"
"Coacalco de Berriozábal","19 Años",4486,2331,2155,"15 020"
"Coacalco de Berriozábal","20 Años",5075,2555,2520,"15 020"
"Coacalco de Berriozábal","21 Años",4491,2263,2228,"15 020"
"Coacalco de Berriozábal","22 Años",4872,2415,2457,"15 020"
"Coacalco de Berriozábal","23 Años",4666,2392,2274,"15 020"
"Coacalco de Berriozábal","24 Años",4722,2318,2404,"15 020"
"Coatepec Harinas","Total",38643,18560,20083,"15 021"
"Coatepec Harinas","3 Años",840,395,445,"15 021"
"Coatepec Harinas","4 Años",824,418,406,"15 021"
"Coatepec Harinas","5 Años",868,451,417,"15 021"
"Coatepec Harinas","6 Años",788,405,383,"15 021"
"Coatepec Harinas","7 Años",822,416,406,"15 021"
"Coatepec Harinas","8 Años",887,453,434,"15 021"
"Coatepec Harinas","9 Años",842,405,437,"15 021"
"Coatepec Harinas","10 Años",907,445,462,"15 021"
"Coatepec Harinas","11 Años",795,418,377,"15 021"
"Coatepec Harinas","12 Años",845,468,377,"15 021"
"Coatepec Harinas","13 Años",789,381,408,"15 021"
"Coatepec Harinas","14 Años",838,407,431,"15 021"
"Coatepec Harinas","15 Años",772,398,374,"15 021"
"Coatepec Harinas","16 Años",756,385,371,"15 021"
"Coatepec Harinas","17 Años",819,441,378,"15 021"
"Coatepec Harinas","18 Años",787,399,388,"15 021"
"Coatepec Harinas","19 Años",704,338,366,"15 021"
"Coatepec Harinas","20 Años",772,360,412,"15 021"
"Coatepec Harinas","21 Años",639,309,330,"15 021"
"Coatepec Harinas","22 Años",669,297,372,"15 021"
"Coatepec Harinas","23 Años",652,296,356,"15 021"
"Coatepec Harinas","24 Años",636,288,348,"15 021"
"Cocotitlán","Total",15107,7350,7757,"15 022"
"Cocotitlán","3 Años",233,131,102,"15 022"
"Cocotitlán","4 Años",270,157,113,"15 022"
"Cocotitlán","5 Años",249,138,111,"15 022"
"Cocotitlán","6 Años",227,109,118,"15 022"
"Cocotitlán","7 Años",250,126,124,"15 022"
"Cocotitlán","8 Años",258,133,125,"15 022"
"Cocotitlán","9 Años",267,143,124,"15 022"
"Cocotitlán","10 Años",265,129,136,"15 022"
"Cocotitlán","11 Años",273,123,150,"15 022"
"Cocotitlán","12 Años",268,127,141,"15 022"
"Cocotitlán","13 Años",271,148,123,"15 022"
"Cocotitlán","14 Años",282,143,139,"15 022"
"Cocotitlán","15 Años",263,124,139,"15 022"
"Cocotitlán","16 Años",266,135,131,"15 022"
"Cocotitlán","17 Años",269,139,130,"15 022"
"Cocotitlán","18 Años",284,147,137,"15 022"
"Cocotitlán","19 Años",247,129,118,"15 022"
"Cocotitlán","20 Años",275,139,136,"15 022"
"Cocotitlán","21 Años",226,110,116,"15 022"
"Cocotitlán","22 Años",261,131,130,"15 022"
"Cocotitlán","23 Años",219,109,110,"15 022"
"Cocotitlán","24 Años",229,108,121,"15 022"
"Coyotepec","Total",40885,19992,20893,"15 023"
"Coyotepec","3 Años",753,390,363,"15 023"
"Coyotepec","4 Años",742,351,391,"15 023"
"Coyotepec","5 Años",694,353,341,"15 023"
"Coyotepec","6 Años",663,335,328,"15 023"
"Coyotepec","7 Años",708,356,352,"15 023"
"Coyotepec","8 Años",770,377,393,"15 023"
"Coyotepec","9 Años",717,364,353,"15 023"
"Coyotepec","10 Años",801,402,399,"15 023"
"Coyotepec","11 Años",754,408,346,"15 023"
"Coyotepec","12 Años",842,432,410,"15 023"
"Coyotepec","13 Años",756,395,361,"15 023"
"Coyotepec","14 Años",742,367,375,"15 023"
"Coyotepec","15 Años",782,396,386,"15 023"
"Coyotepec","16 Años",753,397,356,"15 023"
"Coyotepec","17 Años",818,406,412,"15 023"
"Coyotepec","18 Años",838,451,387,"15 023"
"Coyotepec","19 Años",691,354,337,"15 023"
"Coyotepec","20 Años",821,399,422,"15 023"
"Coyotepec","21 Años",595,280,315,"15 023"
"Coyotepec","22 Años",747,354,393,"15 023"
"Coyotepec","23 Años",651,311,340,"15 023"
"Coyotepec","24 Años",679,352,327,"15 023"
"Cuautitlán","Total",178847,87666,91181,"15 024"
"Cuautitlán","3 Años",2374,1194,1180,"15 024"
"Cuautitlán","4 Años",2479,1277,1202,"15 024"
"Cuautitlán","5 Años",2597,1319,1278,"15 024"
"Cuautitlán","6 Años",2599,1328,1271,"15 024"
"Cuautitlán","7 Años",2710,1368,1342,"15 024"
"Cuautitlán","8 Años",2882,1461,1421,"15 024"
"Cuautitlán","9 Años",2612,1278,1334,"15 024"
"Cuautitlán","10 Años",3074,1580,1494,"15 024"
"Cuautitlán","11 Años",2833,1408,1425,"15 024"
"Cuautitlán","12 Años",3036,1474,1562,"15 024"
"Cuautitlán","13 Años",2966,1490,1476,"15 024"
"Cuautitlán","14 Años",2986,1509,1477,"15 024"
"Cuautitlán","15 Años",3020,1521,1499,"15 024"
"Cuautitlán","16 Años",2922,1512,1410,"15 024"
"Cuautitlán","17 Años",3238,1647,1591,"15 024"
"Cuautitlán","18 Años",3431,1817,1614,"15 024"
"Cuautitlán","19 Años",2888,1470,1418,"15 024"
"Cuautitlán","20 Años",3335,1701,1634,"15 024"
"Cuautitlán","21 Años",2801,1478,1323,"15 024"
"Cuautitlán","22 Años",3077,1616,1461,"15 024"
"Cuautitlán","23 Años",2908,1498,1410,"15 024"
"Cuautitlán","24 Años",2820,1422,1398,"15 024"
"Cuautitlán Izcalli","Total",555163,268956,286207,"15 121"
"Cuautitlán Izcalli","3 Años",7368,3765,3603,"15 121"
"Cuautitlán Izcalli","4 Años",7727,3938,3789,"15 121"
"Cuautitlán Izcalli","5 Años",8057,4209,3848,"15 121"
"Cuautitlán Izcalli","6 Años",7186,3645,3541,"15 121"
"Cuautitlán Izcalli","7 Años",7308,3818,3490,"15 121"
"Cuautitlán Izcalli","8 Años",7832,4052,3780,"15 121"
"Cuautitlán Izcalli","9 Años",7494,3794,3700,"15 121"
"Cuautitlán Izcalli","10 Años",8530,4419,4111,"15 121"
"Cuautitlán Izcalli","11 Años",7909,4072,3837,"15 121"
"Cuautitlán Izcalli","12 Años",8558,4294,4264,"15 121"
"Cuautitlán Izcalli","13 Años",8297,4173,4124,"15 121"
"Cuautitlán Izcalli","14 Años",8368,4184,4184,"15 121"
"Cuautitlán Izcalli","15 Años",8706,4461,4245,"15 121"
"Cuautitlán Izcalli","16 Años",8401,4216,4185,"15 121"
"Cuautitlán Izcalli","17 Años",8864,4550,4314,"15 121"
"Cuautitlán Izcalli","18 Años",9401,4887,4514,"15 121"
"Cuautitlán Izcalli","19 Años",8284,4113,4171,"15 121"
"Cuautitlán Izcalli","20 Años",9322,4707,4615,"15 121"
"Cuautitlán Izcalli","21 Años",7960,4061,3899,"15 121"
"Cuautitlán Izcalli","22 Años",8698,4436,4262,"15 121"
"Cuautitlán Izcalli","23 Años",8245,4146,4099,"15 121"
"Cuautitlán Izcalli","24 Años",8269,4195,4074,"15 121"
"Donato Guerra","Total",37436,18391,19045,"15 032"
"Donato Guerra","3 Años",810,432,378,"15 032"
"Donato Guerra","4 Años",846,409,437,"15 032"
"Donato Guerra","5 Años",840,426,414,"15 032"
"Donato Guerra","6 Años",829,411,418,"15 032"
"Donato Guerra","7 Años",850,411,439,"15 032"
"Donato Guerra","8 Años",925,456,469,"15 032"
"Donato Guerra","9 Años",840,411,429,"15 032"
"Donato Guerra","10 Años",954,501,453,"15 032"
"Donato Guerra","11 Años",859,462,397,"15 032"
"Donato Guerra","12 Años",869,433,436,"15 032"
"Donato Guerra","13 Años",826,417,409,"15 032"
"Donato Guerra","14 Años",790,377,413,"15 032"
"Donato Guerra","15 Años",831,404,427,"15 032"
"Donato Guerra","16 Años",765,362,403,"15 032"
"Donato Guerra","17 Años",849,442,407,"15 032"
"Donato Guerra","18 Años",844,426,418,"15 032"
"Donato Guerra","19 Años",711,362,349,"15 032"
"Donato Guerra","20 Años",782,392,390,"15 032"
"Donato Guerra","21 Años",613,292,321,"15 032"
"Donato Guerra","22 Años",657,312,345,"15 032"
"Donato Guerra","23 Años",666,309,357,"15 032"
"Donato Guerra","24 Años",673,342,331,"15 032"
"Ecatepec de Morelos","Total",1645352,798549,846803,"15 033"
"Ecatepec de Morelos","3 Años",24548,12362,12186,"15 033"
"Ecatepec de Morelos","4 Años",25191,12702,12489,"15 033"
"Ecatepec de Morelos","5 Años",25529,13011,12518,"15 033"
"Ecatepec de Morelos","6 Años",22910,11611,11299,"15 033"
"Ecatepec de Morelos","7 Años",23973,12135,11838,"15 033"
"Ecatepec de Morelos","8 Años",24967,12883,12084,"15 033"
"Ecatepec de Morelos","9 Años",23050,11586,11464,"15 033"
"Ecatepec de Morelos","10 Años",25980,13303,12677,"15 033"
"Ecatepec de Morelos","11 Años",24225,12410,11815,"15 033"
"Ecatepec de Morelos","12 Años",26325,13372,12953,"15 033"
"Ecatepec de Morelos","13 Años",25413,12843,12570,"15 033"
"Ecatepec de Morelos","14 Años",25110,12543,12567,"15 033"
"Ecatepec de Morelos","15 Años",26605,13384,13221,"15 033"
"Ecatepec de Morelos","16 Años",24649,12471,12178,"15 033"
"Ecatepec de Morelos","17 Años",27213,13853,13360,"15 033"
"Ecatepec de Morelos","18 Años",29231,15091,14140,"15 033"
"Ecatepec de Morelos","19 Años",24715,12458,12257,"15 033"
"Ecatepec de Morelos","20 Años",30073,15145,14928,"15 033"
"Ecatepec de Morelos","21 Años",24629,12443,12186,"15 033"
"Ecatepec de Morelos","22 Años",28131,14139,13992,"15 033"
"Ecatepec de Morelos","23 Años",26371,13110,13261,"15 033"
"Ecatepec de Morelos","24 Años",26167,12866,13301,"15 033"
"Ecatzingo","Total",10827,5321,5506,"15 034"
"Ecatzingo","3 Años",219,109,110,"15 034"
"Ecatzingo","4 Años",229,115,114,"15 034"
"Ecatzingo","5 Años",223,116,107,"15 034"
"Ecatzingo","6 Años",216,111,105,"15 034"
"Ecatzingo","7 Años",230,113,117,"15 034"
"Ecatzingo","8 Años",216,116,100,"15 034"
"Ecatzingo","9 Años",187,103,84,"15 034"
"Ecatzingo","10 Años",249,131,118,"15 034"
"Ecatzingo","11 Años",189,100,89,"15 034"
"Ecatzingo","12 Años",215,109,106,"15 034"
"Ecatzingo","13 Años",222,106,116,"15 034"
"Ecatzingo","14 Años",200,97,103,"15 034"
"Ecatzingo","15 Años",220,125,95,"15 034"
"Ecatzingo","16 Años",194,92,102,"15 034"
"Ecatzingo","17 Años",210,101,109,"15 034"
"Ecatzingo","18 Años",237,105,132,"15 034"
"Ecatzingo","19 Años",181,92,89,"15 034"
"Ecatzingo","20 Años",240,116,124,"15 034"
"Ecatzingo","21 Años",199,97,102,"15 034"
"Ecatzingo","22 Años",215,109,106,"15 034"
"Ecatzingo","23 Años",194,83,111,"15 034"
"Ecatzingo","24 Años",216,120,96,"15 034"
"El Oro","Total",36937,17918,19019,"15 064"
"El Oro","3 Años",672,332,340,"15 064"
"El Oro","4 Años",698,359,339,"15 064"
"El Oro","5 Años",693,341,352,"15 064"
"El Oro","6 Años",677,327,350,"15 064"
"El Oro","7 Años",723,365,358,"15 064"
"El Oro","8 Años",774,413,361,"15 064"
"El Oro","9 Años",717,372,345,"15 064"
"El Oro","10 Años",820,422,398,"15 064"
"El Oro","11 Años",730,330,400,"15 064"
"El Oro","12 Años",735,362,373,"15 064"
"El Oro","13 Años",753,373,380,"15 064"
"El Oro","14 Años",744,372,372,"15 064"
"El Oro","15 Años",756,391,365,"15 064"
"El Oro","16 Años",740,342,398,"15 064"
"El Oro","17 Años",772,382,390,"15 064"
"El Oro","18 Años",775,379,396,"15 064"
"El Oro","19 Años",587,294,293,"15 064"
"El Oro","20 Años",726,360,366,"15 064"
"El Oro","21 Años",573,295,278,"15 064"
"El Oro","22 Años",662,368,294,"15 064"
"El Oro","23 Años",581,310,271,"15 064"
"El Oro","24 Años",617,285,332,"15 064"
"Huehuetoca","Total",163244,80016,83228,"15 035"
"Huehuetoca","3 Años",2791,1405,1386,"15 035"
"Huehuetoca","4 Años",2852,1477,1375,"15 035"
"Huehuetoca","5 Años",3004,1541,1463,"15 035"
"Huehuetoca","6 Años",3053,1546,1507,"15 035"
"Huehuetoca","7 Años",3190,1658,1532,"15 035"
"Huehuetoca","8 Años",3442,1789,1653,"15 035"
"Huehuetoca","9 Años",3163,1529,1634,"15 035"
"Huehuetoca","10 Años",3582,1877,1705,"15 035"
"Huehuetoca","11 Años",3389,1768,1621,"15 035"
"Huehuetoca","12 Años",3618,1825,1793,"15 035"
"Huehuetoca","13 Años",3425,1761,1664,"15 035"
"Huehuetoca","14 Años",3379,1709,1670,"15 035"
"Huehuetoca","15 Años",3333,1732,1601,"15 035"
"Huehuetoca","16 Años",3068,1528,1540,"15 035"
"Huehuetoca","17 Años",3172,1648,1524,"15 035"
"Huehuetoca","18 Años",3328,1689,1639,"15 035"
"Huehuetoca","19 Años",2800,1395,1405,"15 035"
"Huehuetoca","20 Años",2980,1510,1470,"15 035"
"Huehuetoca","21 Años",2524,1242,1282,"15 035"
"Huehuetoca","22 Años",2652,1312,1340,"15 035"
"Huehuetoca","23 Años",2495,1223,1272,"15 035"
"Huehuetoca","24 Años",2470,1155,1315,"15 035"
"Hueypoxtla","Total",46757,23108,23649,"15 036"
"Hueypoxtla","3 Años",797,368,429,"15 036"
"Hueypoxtla","4 Años",845,410,435,"15 036"
"Hueypoxtla","5 Años",809,418,391,"15 036"
"Hueypoxtla","6 Años",753,407,346,"15 036"
"Hueypoxtla","7 Años",856,458,398,"15 036"
"Hueypoxtla","8 Años",878,448,430,"15 036"
"Hueypoxtla","9 Años",852,437,415,"15 036"
"Hueypoxtla","10 Años",968,473,495,"15 036"
"Hueypoxtla","11 Años",887,460,427,"15 036"
"Hueypoxtla","12 Años",952,492,460,"15 036"
"Hueypoxtla","13 Años",920,486,434,"15 036"
"Hueypoxtla","14 Años",942,476,466,"15 036"
"Hueypoxtla","15 Años",905,468,437,"15 036"
"Hueypoxtla","16 Años",841,418,423,"15 036"
"Hueypoxtla","17 Años",873,469,404,"15 036"
"Hueypoxtla","18 Años",922,457,465,"15 036"
"Hueypoxtla","19 Años",746,404,342,"15 036"
"Hueypoxtla","20 Años",843,426,417,"15 036"
"Hueypoxtla","21 Años",684,339,345,"15 036"
"Hueypoxtla","22 Años",724,359,365,"15 036"
"Hueypoxtla","23 Años",712,360,352,"15 036"
"Hueypoxtla","24 Años",770,373,397,"15 036"
"Huixquilucan","Total",284965,136466,148499,"15 037"
"Huixquilucan","3 Años",4387,2203,2184,"15 037"
"Huixquilucan","4 Años",4473,2234,2239,"15 037"
"Huixquilucan","5 Años",4529,2335,2194,"15 037"
"Huixquilucan","6 Años",3996,2023,1973,"15 037"
"Huixquilucan","7 Años",4059,2035,2024,"15 037"
"Huixquilucan","8 Años",4272,2197,2075,"15 037"
"Huixquilucan","9 Años",4082,2110,1972,"15 037"
"Huixquilucan","10 Años",4805,2480,2325,"15 037"
"Huixquilucan","11 Años",4204,2118,2086,"15 037"
"Huixquilucan","12 Años",4721,2403,2318,"15 037"
"Huixquilucan","13 Años",4239,2086,2153,"15 037"
"Huixquilucan","14 Años",4269,2124,2145,"15 037"
"Huixquilucan","15 Años",4647,2299,2348,"15 037"
"Huixquilucan","16 Años",4210,2094,2116,"15 037"
"Huixquilucan","17 Años",4712,2363,2349,"15 037"
"Huixquilucan","18 Años",5050,2614,2436,"15 037"
"Huixquilucan","19 Años",4405,2160,2245,"15 037"
"Huixquilucan","20 Años",5348,2522,2826,"15 037"
"Huixquilucan","21 Años",4328,2113,2215,"15 037"
"Huixquilucan","22 Años",4969,2374,2595,"15 037"
"Huixquilucan","23 Años",4709,2197,2512,"15 037"
"Huixquilucan","24 Años",4577,2174,2403,"15 037"
"Isidro Fabela","Total",11929,5817,6112,"15 038"
"Isidro Fabela","3 Años",189,91,98,"15 038"
"Isidro Fabela","4 Años",224,114,110,"15 038"
"Isidro Fabela","5 Años",241,123,118,"15 038"
"Isidro Fabela","6 Años",203,90,113,"15 038"
"Isidro Fabela","7 Años",203,102,101,"15 038"
"Isidro Fabela","8 Años",248,125,123,"15 038"
"Isidro Fabela","9 Años",193,105,88,"15 038"
"Isidro Fabela","10 Años",222,121,101,"15 038"
"Isidro Fabela","11 Años",204,120,84,"15 038"
"Isidro Fabela","12 Años",222,118,104,"15 038"
"Isidro Fabela","13 Años",213,96,117,"15 038"
"Isidro Fabela","14 Años",227,114,113,"15 038"
"Isidro Fabela","15 Años",231,124,107,"15 038"
"Isidro Fabela","16 Años",239,120,119,"15 038"
"Isidro Fabela","17 Años",240,112,128,"15 038"
"Isidro Fabela","18 Años",276,129,147,"15 038"
"Isidro Fabela","19 Años",194,99,95,"15 038"
"Isidro Fabela","20 Años",247,113,134,"15 038"
"Isidro Fabela","21 Años",183,86,97,"15 038"
"Isidro Fabela","22 Años",218,98,120,"15 038"
"Isidro Fabela","23 Años",195,101,94,"15 038"
"Isidro Fabela","24 Años",198,95,103,"15 038"
"Ixtapaluca","Total",542211,263083,279128,"15 039"
"Ixtapaluca","3 Años",8383,4236,4147,"15 039"
"Ixtapaluca","4 Años",8648,4374,4274,"15 039"
"Ixtapaluca","5 Años",8513,4250,4263,"15 039"
"Ixtapaluca","6 Años",8299,4119,4180,"15 039"
"Ixtapaluca","7 Años",8672,4397,4275,"15 039"
"Ixtapaluca","8 Años",9026,4630,4396,"15 039"
"Ixtapaluca","9 Años",8498,4315,4183,"15 039"
"Ixtapaluca","10 Años",9949,5199,4750,"15 039"
"Ixtapaluca","11 Años",8889,4505,4384,"15 039"
"Ixtapaluca","12 Años",9642,4854,4788,"15 039"
"Ixtapaluca","13 Años",9386,4801,4585,"15 039"
"Ixtapaluca","14 Años",9595,4837,4758,"15 039"
"Ixtapaluca","15 Años",9899,5034,4865,"15 039"
"Ixtapaluca","16 Años",9672,5051,4621,"15 039"
"Ixtapaluca","17 Años",10071,5147,4924,"15 039"
"Ixtapaluca","18 Años",10738,5520,5218,"15 039"
"Ixtapaluca","19 Años",9225,4584,4641,"15 039"
"Ixtapaluca","20 Años",10846,5340,5506,"15 039"
"Ixtapaluca","21 Años",9141,4592,4549,"15 039"
"Ixtapaluca","22 Años",10277,5124,5153,"15 039"
"Ixtapaluca","23 Años",9418,4602,4816,"15 039"
"Ixtapaluca","24 Años",9435,4598,4837,"15 039"
"Ixtapan de la Sal","Total",36911,17676,19235,"15 040"
"Ixtapan de la Sal","3 Años",695,360,335,"15 040"
"Ixtapan de la Sal","4 Años",689,339,350,"15 040"
"Ixtapan de la Sal","5 Años",687,357,330,"15 040"
"Ixtapan de la Sal","6 Años",680,344,336,"15 040"
"Ixtapan de la Sal","7 Años",735,364,371,"15 040"
"Ixtapan de la Sal","8 Años",711,376,335,"15 040"
"Ixtapan de la Sal","9 Años",681,347,334,"15 040"
"Ixtapan de la Sal","10 Años",727,400,327,"15 040"
"Ixtapan de la Sal","11 Años",700,316,384,"15 040"
"Ixtapan de la Sal","12 Años",701,344,357,"15 040"
"Ixtapan de la Sal","13 Años",721,367,354,"15 040"
"Ixtapan de la Sal","14 Años",731,373,358,"15 040"
"Ixtapan de la Sal","15 Años",732,355,377,"15 040"
"Ixtapan de la Sal","16 Años",630,306,324,"15 040"
"Ixtapan de la Sal","17 Años",730,368,362,"15 040"
"Ixtapan de la Sal","18 Años",706,350,356,"15 040"
"Ixtapan de la Sal","19 Años",647,333,314,"15 040"
"Ixtapan de la Sal","20 Años",713,361,352,"15 040"
"Ixtapan de la Sal","21 Años",651,319,332,"15 040"
"Ixtapan de la Sal","22 Años",660,309,351,"15 040"
"Ixtapan de la Sal","23 Años",589,300,289,"15 040"
"Ixtapan de la Sal","24 Años",608,302,306,"15 040"
"Ixtapan del Oro","Total",6475,3215,3260,"15 041"
"Ixtapan del Oro","3 Años",139,73,66,"15 041"
"Ixtapan del Oro","4 Años",138,72,66,"15 041"
"Ixtapan del Oro","5 Años",139,72,67,"15 041"
"Ixtapan del Oro","6 Años",133,62,71,"15 041"
"Ixtapan del Oro","7 Años",153,79,74,"15 041"
"Ixtapan del Oro","8 Años",142,72,70,"15 041"
"Ixtapan del Oro","9 Años",143,71,72,"15 041"
"Ixtapan del Oro","10 Años",126,63,63,"15 041"
"Ixtapan del Oro","11 Años",142,73,69,"15 041"
"Ixtapan del Oro","12 Años",147,66,81,"15 041"
"Ixtapan del Oro","13 Años",140,72,68,"15 041"
"Ixtapan del Oro","14 Años",152,64,88,"15 041"
"Ixtapan del Oro","15 Años",126,66,60,"15 041"
"Ixtapan del Oro","16 Años",130,67,63,"15 041"
"Ixtapan del Oro","17 Años",137,62,75,"15 041"
"Ixtapan del Oro","18 Años",122,74,48,"15 041"
"Ixtapan del Oro","19 Años",108,57,51,"15 041"
"Ixtapan del Oro","20 Años",105,48,57,"15 041"
"Ixtapan del Oro","21 Años",102,48,54,"15 041"
"Ixtapan del Oro","22 Años",90,48,42,"15 041"
"Ixtapan del Oro","23 Años",80,41,39,"15 041"
"Ixtapan del Oro","24 Años",108,49,59,"15 041"
"Ixtlahuaca","Total",160139,76775,83364,"15 042"
"Ixtlahuaca","3 Años",2953,1446,1507,"15 042"
"Ixtlahuaca","4 Años",3040,1574,1466,"15 042"
"Ixtlahuaca","5 Años",2988,1494,1494,"15 042"
"Ixtlahuaca","6 Años",2940,1457,1483,"15 042"
"Ixtlahuaca","7 Años",2931,1436,1495,"15 042"
"Ixtlahuaca","8 Años",3157,1591,1566,"15 042"
"Ixtlahuaca","9 Años",2871,1407,1464,"15 042"
