"nom_mun","edad","pob_tot","pob_h","pob_m"
"Almoloya del Río","6 Años",236,123,113
"Almoloya del Río","7 Años",226,119,107
"Almoloya del Río","8 Años",236,110,126
"Almoloya del Río","9 Años",237,124,113
"Almoloya del Río","10 Años",277,131,146
"Almoloya del Río","11 Años",214,115,99
"Almoloya del Río","12 Años",259,141,118
"Almoloya del Río","13 Años",206,102,104
"Almoloya del Río","14 Años",222,111,111
"Almoloya del Río","15 Años",251,136,115
"Almoloya del Río","16 Años",215,118,97
"Almoloya del Río","17 Años",223,113,110
"Almoloya del Río","18 Años",233,127,106
"Almoloya del Río","19 Años",209,113,96
"Almoloya del Río","20 Años",235,119,116
"Almoloya del Río","21 Años",214,103,111
"Almoloya del Río","22 Años",227,109,118
"Almoloya del Río","23 Años",183,90,93
"Almoloya del Río","24 Años",201,94,107
"Amanalco","Total",23675,11534,12141
"Amanalco","3 Años",533,281,252
"Amanalco","4 Años",507,242,265
"Amanalco","5 Años",502,244,258
"Amanalco","6 Años",472,248,224
"Amanalco","7 Años",502,263,239
"Amanalco","8 Años",523,270,253
"Amanalco","9 Años",492,208,284
"Amanalco","10 Años",537,268,269
"Amanalco","11 Años",488,232,256
"Amanalco","12 Años",424,195,229
"Amanalco","13 Años",481,250,231
"Amanalco","14 Años",481,249,232
"Amanalco","15 Años",468,227,241
"Amanalco","16 Años",428,226,202
"Amanalco","17 Años",467,241,226
"Amanalco","18 Años",423,208,215
"Amanalco","19 Años",355,173,182
"Amanalco","20 Años",451,213,238
"Amanalco","21 Años",381,185,196
"Amanalco","22 Años",441,220,221
"Amanalco","23 Años",391,198,193
"Amanalco","24 Años",387,179,208
"Amatepec","Total",25244,12247,12997
"Amatepec","3 Años",491,252,239
"Amatepec","4 Años",511,241,270
"Amatepec","5 Años",503,256,247
"Amatepec","6 Años",495,254,241
"Amatepec","7 Años",475,237,238
"Amatepec","8 Años",567,284,283
"Amatepec","9 Años",493,239,254
"Amatepec","10 Años",535,290,245
"Amatepec","11 Años",457,230,227
"Amatepec","12 Años",466,211,255
"Amatepec","13 Años",453,220,233
"Amatepec","14 Años",451,228,223
"Amatepec","15 Años",430,234,196
"Amatepec","16 Años",436,225,211
"Amatepec","17 Años",454,248,206
"Amatepec","18 Años",482,215,267
"Amatepec","19 Años",356,169,187
"Amatepec","20 Años",428,204,224
"Amatepec","21 Años",359,177,182
"Amatepec","22 Años",418,221,197
"Amatepec","23 Años",382,172,210
"Amatepec","24 Años",377,173,204
"Amecameca","Total",53441,25440,28001
"Amecameca","3 Años",915,450,465
"Amecameca","4 Años",910,424,486
"Amecameca","5 Años",869,443,426
"Amecameca","6 Años",844,415,429
"Amecameca","7 Años",864,404,460
"Amecameca","8 Años",903,453,450
"Amecameca","9 Años",756,385,371
"Amecameca","10 Años",989,515,474
"Amecameca","11 Años",861,457,404
"Amecameca","12 Años",921,458,463
"Amecameca","13 Años",863,443,420
"Amecameca","14 Años",884,438,446
"Amecameca","15 Años",987,495,492
"Amecameca","16 Años",937,472,465
"Amecameca","17 Años",965,508,457
"Amecameca","18 Años",1025,497,528
"Amecameca","19 Años",862,428,434
"Amecameca","20 Años",1110,533,577
"Amecameca","21 Años",800,396,404
"Amecameca","22 Años",885,418,467
"Amecameca","23 Años",868,432,436
"Amecameca","24 Años",826,411,415
"Apaxco","Total",31898,15633,16265
"Apaxco","3 Años",533,269,264
"Apaxco","4 Años",590,318,272
"Apaxco","5 Años",548,246,302
"Apaxco","6 Años",508,248,260
"Apaxco","7 Años",558,270,288
"Apaxco","8 Años",542,288,254
"Apaxco","9 Años",563,260,303
"Apaxco","10 Años",633,316,317
"Apaxco","11 Años",585,291,294
"Apaxco","12 Años",574,287,287
"Apaxco","13 Años",560,290,270
"Apaxco","14 Años",571,291,280
"Apaxco","15 Años",543,289,254
"Apaxco","16 Años",511,250,261
"Apaxco","17 Años",553,274,279
